线路名称,线路类型,运行时间,总里程,公交公司,正向路线,反向路线
318路(上游--上游),旅游专线,,23.5753,济南莱芜长运公交公司,"上游,雪野镇政府,西下游路口,东下游,
农博园,航空俱乐部,雪野航空园,西站里,
邢家峪,邢家峪村,雪野水库,招呼站,
雪湖花园酒店,雪野村(招呼站),蓝湾欢乐岛,南双王村,
北双王村南,北双王村,维笙大酒店,文昌盛典公园,
北白座村,桃花源,绿城桃花源,东站里村,
东站里,恒大小区,绿地雪莱小镇,东下游,
西下游路口,上游中心街,雪野镇政府,上游
","上游,雪野镇政府,上游中心街,西下游路口,
东下游,绿地雪莱小镇,恒大小区,东站里,
东站里村,绿城桃花源,桃花源,北白座村,
文昌盛典公园,维笙大酒店,北双王村,北双王村南,
南双王村,蓝湾欢乐岛,雪野村(招呼站),雪湖花园酒店,
招呼站,雪野水库,邢家峪村,邢家峪,
西站里,雪野航空园,航空俱乐部,农博园,
东下游,西下游路口,雪野镇政府,上游
"
321路(花园路二环东路--孙村新区),普通公交,0630--1830,25.21179,济南公交集团东部公交第四分公司,"花园路二环东路,七里河小区,七里河,丁家庄西,
贤文庄,工业南路舜华路,牛旺庄,世纪大道工业南路,
世纪大道凤凰路,义和庄南,世纪大道凤山路,安家,
世纪大道凤鸣路,安家东,章灵西,章灵,
世纪大道龙凤山路,世纪大道唐冶西路,唐冶,山东省康复医院,
世纪大道春秀路,世纪大道春暄路,康山,省水利工程局,
辛庄,孙村北,孙村南,子木花园,
孙村新区","孙村新区,子木花园,孙村南,孙村北,
辛庄,省水利工程局,康山,世纪大道春暄路,
世纪大道春秀路,山东省康复医院,唐冶,世纪大道唐冶西路,
世纪大道龙凤山路,章灵,章灵西,安家东,
世纪大道凤鸣路,安家,世纪大道凤山路,义和庄南,
世纪大道凤凰路,世纪大道工业南路,牛旺庄,工业南路舜华路,
贤文庄,丁家庄西,七里河,七里河小区,
花园路二环东路"
325路(上降甘--燕山立交桥东),普通公交,,41.37212,济南公交集团东部公交第五分公司,"上降甘,下降甘村委会,下降甘,黑牛窝村,
藕池,阁老村,小南营,大南营,
西营镇敬老院,西营,西营交管所东,西营交管所,
西营西,丁家峪,历甲泉,石岭,
黄鹿泉,南龙湾,龙湾,夏家村,
夏家村北,里子,里子北,寨而头,
冶河小学,冶河南,冶河,冶河北,
蟠龙村,高家洼,伙路,伙路北,
济南护理职业学院,旅游路港西路,章锦,章锦西,
省临床中心蟠龙山院区,有兰峪,旅游路凤鸣路,港沟中学,
港沟,小汉峪东,小汉峪,旅游路凤凰路,
大汉峪,旅游路舜华南路,龙洞隧道东,旅游路奥体东路,
旅游路奥体西路,旅游路福地街,下井庄,中井庄,
浆水泉路旅游路,地矿家园,正大城市花园,燕山立交桥东
","燕山立交桥东,正大城市花园,地矿家园,浆水泉路旅游路,
中井庄,下井庄,旅游路福地街,旅游路奥体西路,
旅游路奥体东路,龙洞隧道东,旅游路舜华南路,大汉峪,
旅游路凤凰路,小汉峪,小汉峪东,港沟,
港沟中学,旅游路凤鸣路,有兰峪,省临床中心蟠龙山院区,
章锦西,章锦,旅游路港西路,济南护理职业学院,
伙路北,伙路,高家洼,蟠龙村,
冶河北,冶河,冶河南,冶河小学,
寨而头,里子北,里子,夏家村北,
夏家村,龙湾,南龙湾,黄鹿泉,
石岭,历甲泉,丁家峪,西营西,
西营交管所,西营交管所东,西营,西营镇敬老院,
大南营,小南营,阁老村,藕池,
黑牛窝村,下降甘,下降甘村委会,上降甘
"
329路(九如山--西营交管所),普通公交,,9.41449,济南公交总公司,"九如山,葫芦峪,葫芦峪北,赵家庄村,
枣林新村,枣林,坔窝东,坔窝,
东岭角,西岭角东,西岭角,西营,
西营交管所东,西营交管所","西营交管所,西营交管所东,西营,西岭角,
西岭角东,东岭角,坔窝,坔窝东,
枣林,枣林新村,赵家庄村,葫芦峪北,
葫芦峪,九如山"
330路(积米峪--西营交管所),普通公交,,5.85023,济南公交总公司第三分公司,"积米峪,红岭村,河口村,东岭角,
西岭角,西营,西营交管所东,西营交管所
","西营交管所,西营交管所东,西营,西岭角,
东岭角,河口村,红岭村,积米峪
"
332路(上降甘--西营交管所),普通公交,,7.38493,济南公交总公司第三分公司,"上降甘,下降甘村委会,下降甘,黑牛窝村,
藕池,阁老村,小南营,大南营,
西营镇敬老院,西营,西营交管所东,西营交管所
","西营交管所,西营交管所东,西营,西营镇敬老院,
大南营,小南营,阁老村,藕池,
黑牛窝村,下降甘,下降甘村委会,上降甘
"
333路(叶家坡村委会--西营交管所),普通公交,,12.23859,济南公交总公司第三分公司,"叶家坡村委会,藏主庵,叶家坡村西,叶家坡村北,
刘家门前,刘家门前村东,罗伽水库,智公泉,
上罗伽村西,上罗伽村,下罗伽村,下罗伽村东,
大南营,西营镇敬老院,西营,西营交管所东,
西营交管所","西营交管所,西营交管所东,西营,西营镇敬老院,
大南营,下罗伽村东,下罗伽村,上罗伽村,
上罗伽村西,智公泉,罗伽水库,刘家门前村东,
刘家门前,叶家坡村北,叶家坡村西,藏主庵,
叶家坡村委会"
334路(西营交管所--醉美西营·十八盘),普通公交,,9.95182,济南公交集团东部公交第五分公司,"西营交管所,晾米台,汪家场东,汪家场,
云河村,九曲,九曲中,附设站,
大水井南,大水井北,大水井小学,大安村,
槲疃村,槲疃村东,香炉石顶南,十八盘村南,
醉美西营·十八盘","醉美西营·十八盘,十八盘村南,香炉石顶南,槲疃村东,
槲疃村,大安村,大水井小学,大水井北,
大水井南,附设站,九曲中,九曲,
云河村,汪家场,汪家场东,晾米台,
西营交管所"
335路(道沟村--西营交管所),普通公交,,10.73051,[],"道沟村,佛峪村,佛峪村南,白炭窑村,
枣林东,枣林,坔窝东,坔窝,
东岭角,西岭角东,西岭角,西营,
西营交管所东,西营交管所","西营交管所,西营交管所东,西营,西岭角,
西岭角东,东岭角,坔窝,坔窝东,
枣林,枣林东,白炭窑村,佛峪村南,
佛峪村,道沟村"
336路(林枝村--西营交管所),普通公交,,11.56262,济南公交集团东部分公司,"林枝村,林枝村口,白炭窑村委,白炭窑村,
枣林东,枣林,坔窝东,坔窝,
东岭角,西岭角东,西岭角,西营,
西营交管所东,西营交管所","西营交管所,西营交管所东,西营,西岭角,
西岭角东,东岭角,坔窝,坔窝东,
枣林,枣林东,白炭窑村,白炭窑村委,
林枝村口,林枝村"
337路(西营交管所--石门沟村),普通公交,0630--1700,8.34451,济南公交集团东部分公司,"西营交管所,西营交管所东,西营,西岭角,
西岭角东,东岭角,坔窝,坔窝村北,
天晴峪村西,天晴峪村,天晴峪村东,小葫芦峪村,
石门沟村","石门沟村,小葫芦峪村,天晴峪村东,天晴峪村,
天晴峪村西,坔窝村北,坔窝,东岭角,
西岭角东,西岭角,西营,西营交管所东,
西营交管所"
338路(秦口峪村--西营交管所),普通公交,,4.71258,[],"秦口峪村,秦口峪村北,附设站,西营李家庄,
汪家场,汪家场东,晾米台,西营交管所
","西营交管所,晾米台,汪家场东,汪家场,
西营李家庄,附设站,秦口峪村北,秦口峪村
"
318路支线(三株唐王度假村--洪家楼),普通公交,,41.2009,济南公交集团东部公交第一分公司,"三株唐王度假村,市立三院分院,唐王渔场,大徐家北,
大徐家,亓家,崔家,樊家,
韩辛,岳家寨,桥南,张越家,
大陈家,陈家岭西,鸭旺口,马家村,
向阳村,机场路临港北路,临空经济区建设指挥部,简家屯,
曹官庄,林家,谢家屯西,重型,
种苗公司,机场路工业北路,郭店立交桥西,韩仓,
济钢东门,济钢,济钢西门,殷陈北,
炼油厂,义和庄,邓家,牛旺庄,
工业南路舜华路,贤文庄,丁家庄西,七里河,
七里河小区,洪家楼","洪家楼,七里河小区,七里河,丁家庄西,
贤文庄,工业南路舜华路,牛旺庄,邓家,
义和庄,炼油厂,殷陈北,济钢西门,
济钢,济钢东门,韩仓,郭店立交桥西,
机场路工业北路,种苗公司,重型,谢家屯西,
林家,曹官庄,简家屯,临空经济区建设指挥部,
机场路临港北路,向阳村,马家村,鸭旺口,
陈家岭西,大陈家,张越家,桥南,
岳家寨,韩辛,樊家,崔家,
亓家,大徐家,大徐家北,唐王渔场,
市立三院分院,三株唐王度假村"
326路支线(桃科村委会--燕山立交桥北),普通公交,0600--1700,21.52163,[],"桃科村委会,桃科村北,桃科幼儿园,燕棚窝村南,
燕棚窝村,燕棚窝村北,两河南,两河,
两河北山,河西南,河西,河西北,
济莱高速港沟站,港沟四区,港沟,小汉峪东,
小汉峪,旅游路凤凰路,旅游路舜华南路,旅游路奥体西路,
转山西路旅游路,省博物馆,华洋名苑,燕山立交桥东,
燕山立交桥北","燕山立交桥北,燕山立交桥东,华洋名苑,省博物馆,
转山西路旅游路,旅游路奥体西路,旅游路舜华南路,旅游路凤凰路,
小汉峪,小汉峪东,港沟,港沟四区,
济莱高速港沟站,河西北,河西,河西南,
两河北山,两河,两河南,燕棚窝村北,
燕棚窝村,燕棚窝村南,桃科幼儿园,桃科村北,
桃科村委会"
333路(叶家坡村委会--西营交管所),普通公交,,12.23859,济南公交总公司第三分公司,"叶家坡村委会,藏主庵,叶家坡村西,叶家坡村北,
刘家门前,刘家门前村东,罗伽水库,智公泉,
上罗伽村西,上罗伽村,下罗伽村,下罗伽村东,
大南营,西营镇敬老院,西营,西营交管所东,
西营交管所","西营交管所,西营交管所东,西营,西营镇敬老院,
大南营,下罗伽村东,下罗伽村,上罗伽村,
上罗伽村西,智公泉,罗伽水库,刘家门前村东,
刘家门前,叶家坡村北,叶家坡村西,藏主庵,
叶家坡村委会"
501路(社区公交)(天桥街--大坝公交车场),社区专车,,7.5791,济南公交集团中部公交分公司,"天桥街,制革街,长途汽车站,恒通出租公司,
东工商河路汽车厂东路,金凤苑小区,凤凰山,凤凰山路标山南路,
凤凰山路水屯北路,臧家屯小区,舜清苑,联四路小清河南路,
小清河北路新赵路,小清河北路标山路,香磨李社区,大坝公交车场
","大坝公交车场,香磨李社区,小清河北路标山路,小清河北路新赵路,
联四路小清河南路,舜清苑,臧家屯小区,凤凰山路水屯北路,
凤凰山路标山南路,凤凰山,金凤苑小区,东工商河路汽车厂东路,
恒通出租公司,长途汽车站,制革街,天桥街
"
505路(社区公交)(匡山立交桥南--黄岗),社区专车,0650--2050,4.32735,济南公交集团干线公交分公司,"匡山立交桥南,二环西路幸福街,泉城花园南门,外海西子城市花园,
匡山小区西,匡山小区,黄岗路济齐路,黄岗路无影山中路,
无影山中路,黄岗","黄岗,无影山中路,黄岗路无影山中路,黄岗路济齐路,
匡山小区,匡山小区西,外海西子城市花园,泉城花园南门,
二环西路幸福街,匡山立交桥南"
506路(社区公交)(玉函小区南区--领秀城东区公交车场),社区专车,,6.41153,济南公交集团南部公交分公司,"玉函小区南区,东方红桥,十六里河街道办事处,英雄山立交桥北,
二环南路玉兴路,领秀城A街区,领秀城B街区,领秀城Park街区,
领秀城商业街,领秀城漫山香墅,俭秀路舜耕路,领秀城森林公园,
领秀城中央公园东区,领秀城漫山香墅东区,附设站,领秀城东区公交车场
","领秀城东区公交车场,附设站,领秀城漫山香墅东区,领秀城中央公园东区,
领秀城森林公园,俭秀路舜耕路,领秀城漫山香墅,领秀城商业街,
领秀城Park街区,领秀城B街区,领秀城A街区,二环南路玉兴路,
英雄山立交桥北,十六里河街道办事处,东方红桥,玉函小区南区
"
509路(社区公交)(中海御峰官邸--西八公交车场),社区专车,,6.96616,济南公交集团南部公交分公司,"中海御峰官邸,中海雍景郡,泉欣小学,中海尚湖央邸,
九曲庄西,九曲,中海御山华府,泉海小学南,
中海国际社区,九曲庄路北口,二环南路郎茂山路,山东医高专西,
山东医高专,山景园小区,七里山路西段,金源山居小区,
英雄山路七里山路,西八公交车场","西八公交车场,英雄山路七里山路,金源山居小区,七里山路西段,
山景园小区,山东医高专,山东医高专西,二环南路郎茂山路,
九曲庄路北口,中海国际社区,泉海小学南,中海御山华府,
九曲,九曲庄西,中海尚湖央邸,泉欣小学,
中海雍景郡,中海御峰官邸"
510路(社区公交)(葛家庄--黄金山水郡公交车场),社区专车,,5.08785,济南公交集团中部公交分公司,"葛家庄,葛家庄公交车场,二环东路文化东路,燕山立交桥北,
燕山立交桥南,山财大燕山校区,山东技师学院,荆山路二环东路,
山财大燕山校区南门,地矿家园南门,浆水泉路旅游路,荆山,
荆山东路旅游路,黄金山水郡公交车场","黄金山水郡公交车场,荆山东路旅游路,荆山,浆水泉路旅游路,
地矿家园南门,山财大燕山校区南门,荆山路二环东路,山东技师学院,
山财大燕山校区,燕山立交桥南,燕山立交桥北,二环东路文化东路,
葛家庄公交车场,葛家庄"
511路(社区公交)(长途汽车站--二环北路公交车场),社区专车,0630--2100,6.53799,济南公交集团中部公交分公司,"长途汽车站,工人新村中街,翡翠郡小区,毕家洼小区,
解放军第九六〇医院,市立四院,建材市场,无影山北路小清河北路,
袁庄,卢庄,济南天志医院,无影山北路泺口南路,
山东泺口旧车市场,小鲁家庄东,泺口西村,二环北路公交车场
","二环北路公交车场,泺口西村,小鲁家庄东,山东泺口旧车市场,
无影山北路泺口南路,济南天志医院,卢庄,袁庄,
无影山北路小清河北路,建材市场,市立四院,解放军第九六〇医院,
毕家洼小区,翡翠郡小区,工人新村中街,长途汽车站
"
512路(社区公交)(华润仰山东--西八公交车场),社区专车,0630--2100,6.18369,济南公交集团南部公交分公司,"华润仰山东,华润仰山,华润中央公园,泉润学校,
兴隆山庄西,兴隆一村,二环南路舜世路,国网技术学院,
二环南路舜德路,二环南路舜耕路,舜耕路二环南路,万寿路玉兴路,
十六里河中学,东方红桥,西八公交车场","西八公交车场,东方红桥,十六里河中学,万寿路玉兴路,
舜耕路二环南路,二环南路舜耕路,二环南路舜德路,国网技术学院,
二环南路舜世路,兴隆一村,兴隆山庄西,泉润学校,
华润中央公园,华润仰山,华润仰山东"
513路(社区公交)(省建筑机械厂--腊山立交桥),社区专车,0540--2055,10.12745,济南公交集团通勤与定制巴士分公司,"省建筑机械厂,二环西路簸箕山南路,米山街二环西路,大庙屯东路明成街,
汇诚小学,临时站,融汇城,任庄新区,
克朗山东路刘长山路,克朗山东路南段,克朗山东路腊山路,腊山路西段,
解放军第九六〇医院西院,解放军第九六〇医院西院宿舍,二环西路腊山路,红庙,
普照园小区,腊山立交桥南,腊山立交桥","腊山立交桥,腊山立交桥南,普照园小区,红庙,
二环西路腊山路,解放军第九六〇医院西院宿舍,解放军第九六〇医院西院,腊山路西段,
克朗山东路腊山路,克朗山东路南段,克朗山东路刘长山路,任庄新区,
融汇城,临时站,汇诚小学,大庙屯东路明成街,
米山街二环西路,二环西路簸箕山南路,省建筑机械厂"
516路(社区公交)(地铁彭家庄站--唐冶公交枢纽),社区专车,0600--2300,9.4594,济南公交集团东部分公司,"地铁彭家庄站,历城二中,贞元街唐冶中路,唐冶中路贞观街,
临时站,文苑街唐冶中路,历城工人文化宫,文苑街围子山路,
银丰唐郡牡丹园,银丰唐郡桂花园北门,围子山路幼安街,唐冶新区管委会,
银丰山青苑,围子山路唐冶东路,敬德街唐冶中路,唐冶公交枢纽
","唐冶公交枢纽,敬德街唐冶中路,围子山路唐冶东路,银丰山青苑,
唐冶新区管委会,围子山路幼安街,银丰唐郡桂花园北门,银丰唐郡牡丹园,
文苑街围子山路,历城工人文化宫,文苑街唐冶中路,临时站,
唐冶中路贞观街,贞元街唐冶中路,历城二中,地铁彭家庄站
"
517路(社区公交)(唐冶公交枢纽--地铁彭家庄站),社区专车,,7.79989,济南公交集团东部公交第七分公司,"唐冶公交枢纽,唐官小区,唐冶西路幼安街,唐冶西路文苑街,
唐冶西路世纪大道,唐冶西路长盈街,唐城小区,贞元街唐和路,
贞元街唐景路,贞元街唐冶中路,贞元街唐冶东路,稼轩学校,
贞元街围子山路,围子山路文德街,围子山路飞跃大道,飞跃大道围子山路,
地铁彭家庄站","地铁彭家庄站,飞跃大道围子山路,围子山路飞跃大道,围子山路文德街,
贞元街围子山路,稼轩学校,贞元街唐冶东路,贞元街唐冶中路,
贞元街唐景路,贞元街唐和路,唐城小区,唐冶西路长盈街,
唐冶西路世纪大道,唐冶西路文苑街,唐冶西路幼安街,唐官小区,
唐冶公交枢纽"
523路(社区公交)(清源路齐州路--腊山立交桥),社区专车,0610--2100,8.82859,济南公交集团通勤与定制巴士分公司,"清源路齐州路,齐鲁大道清源路,齐鲁大道德州路,兴福佳苑南门,
齐州路聊城路,青岛路齐州路,泰安路青岛路,兴福寺路腊山河西路,
兴福寺路腊山河东路,兴福寺路淄博路,兴福寺路东营路,兴福寺路潍坊路,
兴福寺路滨州路,滨州路兴福寺路,威海路滨州路,威海路二环西路,
二环西路日照路,二环西路张庄路,二环西路经六路,腊山立交桥
","腊山立交桥,二环西路经六路,二环西路张庄路,二环西路日照路,
威海路二环西路,威海路滨州路,滨州路兴福寺路,兴福寺路滨州路,
兴福寺路潍坊路,兴福寺路东营路,兴福寺路淄博路,兴福寺路腊山河东路,
兴福寺路腊山河西路,泰安路青岛路,青岛路齐州路,齐州路聊城路,
兴福佳苑南门,齐鲁大道德州路,齐鲁大道清源路,清源路齐州路
"
527路(社区公交)(华润紫云府--舜耕路玉函小区北路),社区专车,0600--2130,6.13456,[],"华润紫云府,华润紫云府一区,华润紫云府二区,泉泽中学,
兴仲路中段,兴仲路北段,兴仲路二环南路,国华新经典,
国华新经典南门,天泰太阳树南门,俊雅路舜世路,山东教育社,
舜耕路土屋路,舜耕路玉函小区北路","舜耕路玉函小区北路,舜耕路土屋路,山东教育社,俊雅路舜世路,
天泰太阳树南门,国华新经典南门,国华新经典,兴仲路二环南路,
兴仲路北段,兴仲路中段,泉泽中学,华润紫云府二区,
华润紫云府一区,华润紫云府"
